"puntos" "elevac0" "lon" "lat" "z" "rapMax" "rapMedia"
201 1.07 574399.37 2107200 14.9457167239502 0.0128386012130239 0.00378022549834763
202 1.07 574399.37 2107150 15.1562057894697 0.0112350389593756 0.00354445930985985
203 1.07 574399.37 2107100 15.6404461710088 0.0131804445817551 0.00457705867433153
204 1.07 574399.37 2107050 15.527552625966 0.00964544902942138 0.00559378752151438
205 1.07 574399.37 2107000 15.2510273299612 0.00951388420981579 0.0040264297439182
206 1.07 574399.37 2106950 14.8924473232854 0.00737714673840882 0.0035954388318117
207 1.07 574399.37 2106900 14.6317325545431 0.00867640977768674 0.00342866528352572
208 1.07 574449.37 2107850 12.593699220177 0.0279431358477596 0.00676922891593531
209 1.07 574449.37 2107800 14.5596397611829 0.023291331001063 0.00588591917840793
210 1.07 574449.37 2107750 14.8643491710495 0.0279847875040043 0.0064503228480468
211 1.07 574449.37 2107700 15.9223568062892 0.0264293806738916 0.00856231379875704
212 1.07 574449.37 2107650 16.364472324835 0.0206651757362413 0.00640264165142451
213 1.07 574449.37 2107600 16.5404602837461 0.0218070639666363 0.0046289698955405
214 1.07 574449.37 2107550 16.6890626179922 0.0237516490259506 0.00575141823437572
215 1.07 574449.37 2107500 16.8852000214404 0.0220565581958165 0.00561829898084603
216 1.07 574449.37 2107450 16.6302864007293 0.0216184354244981 0.00732050632715479
217 1.07 574449.37 2107400 16.3564795449383 0.021949730507626 0.00594005236977287
218 1.07 574449.37 2107350 16.3392247920943 0.0238452239703338 0.0070882702365461
219 1.07 574449.37 2107300 16.3508814726267 0.0207265943872232 0.00352812753290078
220 1.07 574449.37 2107250 15.2373171092206 0.0148402247068543 0.00519567945636403
221 1.07 574449.37 2107200 15.037399966551 0.0117830052156107 0.00394864979934442
222 1.07 574449.37 2107150 15.0456499287955 0.0149836062379887 0.0034759548088839
223 1.07 574449.37 2107100 15.270106798591 0.0119825836052708 0.00500856652638637
224 1.07 574449.37 2107050 15.3756299352015 0.0129757099382153 0.00423771004276282
225 1.07 574449.37 2107000 14.7109476378837 0.00851433098459886 0.00229896679211615
226 1.07 574449.37 2106950 13.8211893249225 0.00802944708898859 0.00297093317216841
227 1.07 574499.37 2107950 12.9057916476116 0.0328121615431444 0.00676030426293671
228 1.07 574499.37 2107900 14.5968349014818 0.0339477958020169 0.00852992767810601
229 1.07 574499.37 2107850 16.1444454515823 0.0289638412097708 0.00817821675307498
230 1.07 574499.37 2107800 16.0512904731084 0.0287588299316663 0.00678753940170747
231 1.07 574499.37 2107750 16.1399385096339 0.0284687680388473 0.00674906513244015
232 1.07 574499.37 2107700 16.300828125674 0.0283602321483152 0.00839152890044493
233 1.07 574499.37 2107650 16.8189241254192 0.0254761587878053 0.00922072350817373
234 1.07 574499.37 2107600 16.7887814272997 0.0250950990661771 0.00697326321261091
235 1.07 574499.37 2107550 16.5682099235167 0.0277817368280936 0.00579158281143507
236 1.07 574499.37 2107500 16.6618590727089 0.0270842080701808 0.00648628526874354
237 1.07 574499.37 2107450 16.2109371198351 0.028404759451005 0.00894592361951279
238 1.07 574499.37 2107400 15.9831653763833 0.0290868368981721 0.00801284269826404
239 1.07 574499.37 2107350 16.0694811542405 0.0292466922523541 0.00849574619528001
240 1.07 574499.37 2107300 15.0819686605545 0.0265444680954461 0.00612836160427774
241 1.07 574499.37 2107250 15.285657638043 0.0177441062358527 0.00469300788656675
242 1.07 574499.37 2107200 14.8253945647365 0.020426672407284 0.00576666926297649
243 1.07 574499.37 2107150 13.5714728588286 0.0135858049369024 0.00291401482260059
244 1.07 574499.37 2107100 14.3237226431001 0.0115682306467003 0.00397381089528194
245 1.07 574549.37 2108100 14.3682953185292 0.0415764494468555 0.0105101559145214
246 1.07 574549.37 2108050 16.2723392667484 0.0357951749787877 0.00892218932605609
247 1.07 574549.37 2108000 16.2868735336897 0.0334005702139323 0.00744994075444123
248 1.07 574549.37 2107950 16.1841961394507 0.0404055512836802 0.00970925108033428
249 1.07 574549.37 2107900 16.1489723408061 0.0328777671764027 0.00987531303487994
250 1.07 574549.37 2107850 16.5290348695381 0.0285826242725185 0.00790684695793777
201 1.08 574399.37 2107200 14.9457167239502 0.0211477499382649 0.00625902437462705
202 1.08 574399.37 2107150 15.1562057894697 0.0124356517748515 0.00521909924597903
203 1.08 574399.37 2107100 15.6404461710088 0.0154831824873826 0.00554319233687164
204 1.08 574399.37 2107050 15.527552625966 0.0116026799318873 0.00390931759819532
205 1.08 574399.37 2107000 15.2510273299612 0.0070522126461467 0.00333298868705636
206 1.08 574399.37 2106950 14.8924473232854 0.00757708185515189 0.00261691489717334
207 1.08 574399.37 2106900 14.6317325545431 0.0107474621070322 0.00434456389054095
208 1.08 574449.37 2107850 12.593699220177 0.0226499273440001 0.00681683608886578
209 1.08 574449.37 2107800 14.5596397611829 0.0246140856921281 0.00911640654427719
210 1.08 574449.37 2107750 14.8643491710495 0.0233047537689397 0.00849622493119644
211 1.08 574449.37 2107700 15.9223568062892 0.019988383955056 0.00697313030239653
212 1.08 574449.37 2107650 16.364472324835 0.0311231878866896 0.0115040581175542
213 1.08 574449.37 2107600 16.5404602837461 0.0261817822339616 0.0118276650369742
214 1.08 574449.37 2107550 16.6890626179922 0.00972065286442462 0.00372746382975712
215 1.08 574449.37 2107500 16.8852000214404 0.0256563235941945 0.0137701751880711
216 1.08 574449.37 2107450 16.6302864007293 0.0130780286566962 0.00739467909315206
217 1.08 574449.37 2107400 16.3564795449383 0.0115489827118491 0.00512619776256957
218 1.08 574449.37 2107350 16.3392247920943 0.0149424509005756 0.0077505981978711
219 1.08 574449.37 2107300 16.3508814726267 0.0174692189175146 0.00586321158364684
220 1.08 574449.37 2107250 15.2373171092206 0.016539940792956 0.00450343427749403
221 1.08 574449.37 2107200 15.037399966551 0.0191508133273642 0.00500689513591519
222 1.08 574449.37 2107150 15.0456499287955 0.0145160885511233 0.00521395115994221
223 1.08 574449.37 2107100 15.270106798591 0.0140563499751027 0.0054702750826449
224 1.08 574449.37 2107050 15.3756299352015 0.0141587124669193 0.00380811143918019
225 1.08 574449.37 2107000 14.7109476378837 0.0147183575796087 0.00436076743953186
226 1.08 574449.37 2106950 13.8211893249225 0.00967713801773156 0.00303255533081019
227 1.08 574499.37 2107950 12.9057916476116 0.0288395758780093 0.00750019449917985
228 1.08 574499.37 2107900 14.5968349014818 0.0270125836513912 0.0104650343173409
229 1.08 574499.37 2107850 16.1444454515823 0.0300674345265068 0.00762010653413223
230 1.08 574499.37 2107800 16.0512904731084 0.0233795615747417 0.00843440113445856
231 1.08 574499.37 2107750 16.1399385096339 0.0310293523989288 0.0106178620032322
232 1.08 574499.37 2107700 16.300828125674 0.0310293523989288 0.0106178620032322
233 1.08 574499.37 2107650 16.8189241254192 0.0236807636729191 0.0110411144590854
234 1.08 574499.37 2107600 16.7887814272997 0.0236807636729191 0.0110411144590854
235 1.08 574499.37 2107550 16.5682099235167 0.0174072875619387 0.00459243073853127
236 1.08 574499.37 2107500 16.6618590727089 0.0258108782825178 0.0114212267773606
237 1.08 574499.37 2107450 16.2109371198351 0.0160989313079542 0.0058537881408784
238 1.08 574499.37 2107400 15.9831653763833 0.0150186301509888 0.00435447895580641
239 1.08 574499.37 2107350 16.0694811542405 0.0117060803243705 0.0040265463350438
240 1.08 574499.37 2107300 15.0819686605545 0.0131102025112607 0.00400614841678312
